주차장명,전화번호,위도,경도
수정2동제3공영주차장,051-440-4742,35.12863759,129.0444517
신일금속주변,051-310-4515,35.14700581,128.9789607
신한은행 부산금융센터뒤,051-600-4556,35.09943604,129.0356113
안락1동 행정복지센터,051-550-6508,35.19689833,129.0985732
안락2동 행정복지센터,051-550-6529,35.1977489,129.11006
암남동 주민센터,051-240-6669,35.07989182,129.0209553
엄궁외식1번가주변,051-310-4515,35.12658552,128.967064
연제구청,051-665-4222,35.17620985,129.0797412
영도구청,051-419-4164,35.09121408,129.0679144
영도상수도사업소,051-669-5104,35.09157506,129.0482664
영도어린이영어도서관,051-419-5671,35.08860879,129.0389287
외양포 전망대 주차장,051-970-4562,35.01026691,128.8270283
우2동 주민센터,051-749-5821,35.17120479,129.1399308
위생처리장주변,051-310-4515,35.13710126,128.9686479
일광면사무소,051-709-5214,35.26420388,129.2322638
자갈치시장 앞,051-600-4556,35.09832485,129.0306178
장림1동행정복지센터,051-220-5271,35.08305803,128.9668672
장림2동행정복지센터,051-220-5301,35.07787384,128.9726285
장안읍사무소,051-709-5175,35.31352295,129.2439979
재송어린이도서관,051-749-6086,35.18963089,129.1184919
정관도서관,051-709-3934,35.32528904,129.1817303
정관읍사무소,051-709-5241,35.3255014,129.1802926
좌2동 주민센터,051-749-5861,35.16909159,129.1826027
좌4동 주민센터,051-749-5881,35.17787894,129.1762419
주례역공영주차장,051-310-4515,35.14999971,129.0041072
주례오거리공영주차장,051-310-4515,35.15090425,129.0004636
중2동 주민센터,051-749-5841,35.16195072,129.1791075
중앙동 국제회관옆,051-600-4556,35.09882794,129.0360972
중앙동 노상주차장,051-600-4556,35.10851001,129.0380846
중앙동 유창빌딩앞,051-600-4556,35.10375639,129.036357
지양곡 공영주차장,051-970-4562,35.02162626,128.8228693
철마면사무소,051-709-5271,35.27493186,129.1497817
파라곤호텔주변,051-310-4515,35.16191198,128.9804458
하단1동행정복지센터,051-220-5151,35.10396467,128.9642406
하단2동행정복지센터,051-220-5185,35.11458576,128.9605264
학장동주민센터주변,051-310-4515,35.14409856,128.9873101
학장지구대주변,051-310-4515,35.14614904,128.9845693
한국강관주변,051-310-4515,35.14763973,128.9730092
해운대구문화복합센터,051-741-6153,35.18218753,129.1211894
해운대구보건소,051-749-7504,35.16410942,129.1786558
해운대구청,051-749-4164,35.16313782,129.1635601
해운대인문학도서관,051-749-6574,35.20224078,129.1263083
해표사료주변,051-310-4515,35.15725571,128.9754946
행복마을 공영주차장,051-970-4562,35.08661484,128.9103773
화명1동주민센터,051-309-6308,35.23278402,129.0137846
화명2동주민센터,051-309-6324,35.24361279,129.0198418
화명3동주민센터,051-309-6342,35.23186884,129.010049
화명도서관,051-309-6482,35.2321898,129.0093939
기장군청 신천리 공영주차장,051-709-4162,35.179928,129.075091
정관보건지소,051-709-2910,35.16234629,129.0552449
중구청,051-600-4552,35.10619736,129.0323514
오륜동공영주차장,051-519-4516,35.24737353,129.1017708
강서구청역 역세권 주차장,051-970-4562,35.21209992,128.979556
명지동 주민자율 주차장,051-970-4562,35.11060927,128.9224479
